symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
AARTIIND,Aarti Industries Limited,Metal,89.8,530.9000244140625,534.0,536.67,516.74,568.56,3.71,5.94,1.6,502.48723903397223,69.62692565697284,3.6416659560335494,,proxy 3.6x,3.0030190864870856,0.5805197726474719,False,19257.0,76.73422299984223,True,True
VIJAYA,Vijaya Diagnostic Centre Limited,Pharma,87.0,1510.5999755859375,1525.0,1532.62,1461.28,1646.76,4.65,7.45,1.6,1406.9121986848693,70.64209700152367,6.750033635157637,,proxy 6.8x,3.7781146079035732,0.9442638960040984,False,15559.0,38.03988693021973,True,True
BERGEPAINT,Berger Paints (I) Limited,Metal,82.6,559.7999877929688,564.9000244140625,567.72,546.74,601.28,3.7,5.91,1.6,535.1689573029602,67.57282716010221,4.995031051700997,,proxy 5.0x,2.9976657594783664,5.133881221417147,False,65273.0,24.210206100722655,False,True
FINEORG,Fine Organic Industries Limited,Metal,81.9,5265.10009765625,5369.7998046875,5396.65,5180.29,5742.82,4.01,6.41,1.6,5057.578082182215,63.54311219232209,4.063767791101648,,proxy 4.1x,3.2874266326745194,2.404244052448086,False,16143.0,16.253356197766113,True,True
NATIONALUM,National Aluminium Company Limited,Metal,77.6,420.0,422.20001220703125,424.31,409.39,448.18,3.52,5.63,1.6,383.4388705983573,78.49928433076579,5.0751439969616134,,proxy 5.1x,2.841163790599808,5.511811023622047,False,77139.0,303.28941037066664,False,True
KAJARIACER,Kajaria Ceramics Limited,Infrastructure,77.5,1252.199951171875,1259.0,1265.29,1223.46,1332.21,3.31,5.29,1.6,1208.878946628191,63.798690543259156,1.710201820185366,,—,2.672267905365207,4.34110231559028,False,19677.0,37.46909843410156,True,True
SETL,Standard Engineering Technology Limited,Infrastructure,76.1,300.04998779296875,307.0,308.53,290.89,336.76,5.72,9.15,1.6,285.63597057182244,66.52192470392254,3.2796212188936655,,proxy 3.3x,4.70353798030168,2.2638476244401464,False,6059.0,17.796195324306336,False,True
KRN,KRN Heat Exchanger and Refrigeration Limited,IT,76.1,1331.9000244140625,1345.0,1351.72,1293.19,1445.36,4.33,6.93,1.6,1250.0141767989312,66.09867519733734,4.259563815252798,,proxy 4.3x,3.515367934825077,5.202845237433274,False,8718.0,11.836609312371825,True,True
BOSCHLTD,Bosch Limited,Auto,74.0,46480.0,46735.0,46968.67,45571.94,49203.44,2.97,4.76,1.6,43528.16739734026,77.50703422016343,2.8184060843081205,,proxy 2.8x,2.404008596110409,0.5456296137798224,False,,164.40918998666015,False,True
MATRIMONY,Matrimony.Com Limited,Media,73.3,541.5,549.7000122070312,552.45,522.77,599.93,5.37,8.59,1.6,481.87739781009844,84.1178008508565,4.0830904971180955,,proxy 4.1x,4.384328491500835,4.388721862184114,False,1119.0,5.393450508247681,False,True
