symbol,sector
20MICRONS,Metal
21STCENMGM,Bank
360ONE,Bank
3BBLACKBIO,Unmapped
3IINFOLTD,IT
3MINDIA,Infrastructure
3PLAND,Unmapped
5PAISA,Bank
63MOONS,IT
A2ZINFRA,Infrastructure
AAATECH,IT
AADHARHFC,Bank
AAKASH,Energy
AARNAV,Unmapped
AARON,Infrastructure
AARTIDRUGS,Pharma
AARTIIND,Metal
AARTIPHARM,Pharma
AARTISURF,Metal
AARVI,Infrastructure
AASTHA,Auto
AAVAS,Bank
ABB,Infrastructure
ABBOTINDIA,Pharma
ABCAPITAL,Bank
ABCOTS,Auto
ABDL,FMCG
ABFRL,Auto
ABINFRA,Infrastructure
ABLBL,Auto
ABMINTLLTD,Metal
ABMKNO,Unmapped
ABREL,Realty
ABSLAMC,Bank
ACC,Metal
ACCELYA,IT
ACE,Infrastructure
ACEINTEG,Infrastructure
ACI,Metal
ACL,Metal
ACMESOLAR,Energy
ACSTECH,Unmapped
ACUTAAS,Metal
ADANIENSOL,Energy
ADANIENT,Energy
ADANIGREEN,Energy
ADANIPORTS,Infrastructure
ADANIPOWER,Energy
ADFFOODS,FMCG
ADL,Auto
ADOR,Infrastructure
ADROITINFO,IT
ADSL,IT
ADVAIT,Infrastructure
ADVANCE,Metal
ADVANIHOTR,Auto
ADVENTHTL,Auto
ADVENZYMES,Metal
AEGISLOG,Energy
AEGISVOPAK,Energy
AEPL,Infrastructure
AEQUS,Infrastructure
AEROENTER,Metal
AEROFLEX,Infrastructure
AERONEU,Auto
AEROPLANE,FMCG
AETHER,Metal
AFCONS,Infrastructure
AFFLE,Media
AFIL,Bank
AFSL,Bank
AGARIND,Metal
AGARWALEYE,Pharma
AGI,Auto
AGIIL,Realty
AGL,Infrastructure
AGROPHOS,Metal
AHCL,Pharma
AHLADA,Infrastructure
AHLEAST,Auto
AHLUCONT,Infrastructure
AIAENG,Infrastructure
AIIL,Bank
AIRAN,IT
AIROLAM,Auto
AJANTPHARM,Pharma
AJAXENGG,Infrastructure
AJMERA,Realty
AJOONI,FMCG
AKASH,Infrastructure
AKCAPIT,Unmapped
AKG,Infrastructure
AKI,Auto
AKSHAR,Auto
AKUMS,Pharma
ALANKIT,IT
ALBERTDAVD,Pharma
ALEMBICLTD,Realty
ALGOQUANT,Bank
ALICON,Infrastructure
ALIVUS,Pharma
ALKEM,Pharma
ALKYLAMINE,Metal
ALLCARGO,Infrastructure
ALLDIGI,Infrastructure
ALLTIME,FMCG
ALMONDZ,Bank
ALOKINDS,Auto
ALPA,Pharma
ALPHAGEO,Energy
AMAGI,IT
AMBALALSA,Pharma
AMBER,Auto
AMBICAAGAR,FMCG
AMBIKCO,Auto
AMBUJACEM,Metal
AMDIND,Auto
AMJLAND,Realty
AMNPLST,Metal
AMRUTANJAN,Pharma
ANANDRATHI,Bank
ANANTRAJ,Realty
ANDHRAPAP,Metal
ANDHRSUGAR,Metal
ANGELONE,Bank
ANMOL,Energy
ANTELOPUS,Energy
ANTGRAPHIC,Auto
ANTHEM,Pharma
ANUHPHR,Pharma
ANUP,Infrastructure
ANURAS,Metal
APARINDS,Infrastructure
APCL,Metal
APCOTEXIND,Metal
APEX,FMCG
APLAPOLLO,Metal
APLLTD,Pharma
APOLLO,Infrastructure
APOLLOHOSP,Pharma
APOLLOPIPE,Infrastructure
APOLLOTYRE,Auto
APOLSINHOT,Infrastructure
APTUS,Bank
AQYLON,Media
ARCHIDPLY,Metal
ARCHIES,Auto
ARE&M,Infrastructure
ARENTERP,Metal
ARFIN,Metal
ARIES,Metal
ARIHANT,Realty
ARIHANTCAP,Bank
ARIHANTSUP,Realty
ARIS,Infrastructure
ARKADE,Realty
ARMANFIN,Bank
AROGRANITE,Infrastructure
ARSSBL,Bank
ARTEMISMED,Unmapped
ARTNIRMAN,Realty
ARVEE,Metal
ARVIND,Auto
ARVINDFASN,Auto
ARVSMART,Realty
ASAHIINDIA,Auto
ASAHISONG,Metal
ASAL,Auto
ASALCBR,FMCG
ASHAPURMIN,Metal
ASHIANA,Realty
ASHIKA,Unmapped
ASHIMASYN,Realty
ASHOKA,Infrastructure
ASHOKAMET,Metal
ASHOKLEY,Infrastructure
ASIANENE,Energy
ASIANHOTNR,Auto
ASIANPAINT,Metal
ASIANTILES,Infrastructure
ASKAUTOLTD,Auto
ASPINWALL,FMCG
ASTAR,Unmapped
ASTEC,Metal
ASTERDM,Pharma
ASTRAL,Infrastructure
ASTRAMICRO,IT
ASTRAZEN,Pharma
ATALREAL,Infrastructure
ATAM,Infrastructure
ATGL,Energy
ATHERENERG,Auto
ATL,Infrastructure
ATLANTAA,Infrastructure
ATLANTAELE,Infrastructure
